dataset,column,row_index,value,is_outlier,severity,iqr_outlier,robust_z_outlier,criteria_count,q1,q3,iqr,iqr_lower_fence,iqr_upper_fence,distance_beyond_iqr_fence,distance_in_iqr_units,robust_z
ventas,units,524,72.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,27.5,1.6176470588235294,7.1946666666666665
ventas,units,526,386.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,341.5,20.08823529411765,42.4935
ventas,units,527,42.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,3.8221666666666665
ventas,units,530,183.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,138.5,8.147058823529411,19.672916666666666
ventas,units,538,56.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,11.5,0.6764705882352942,5.396
ventas,units,541,59.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,14.5,0.8529411764705882,5.733249999999999
ventas,units,544,46.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,1.5,0.08823529411764706,4.271833333333333
ventas,units,587,45.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,0.5,0.029411764705882353,4.159416666666666
ventas,units,591,62.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,17.5,1.0294117647058822,6.0705
ventas,units,593,143.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,98.5,5.794117647058823,15.176250000000001
ventas,units,594,44.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,4.047
ventas,units,628,50.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,5.5,0.3235294117647059,4.7215
ventas,units,637,140.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,95.5,5.617647058823529,14.838999999999999
ventas,units,651,46.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,1.5,0.08823529411764706,4.271833333333333
ventas,units,661,356.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,311.5,18.323529411764707,39.121
ventas,units,675,46.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,1.5,0.08823529411764706,4.271833333333333
ventas,units,678,88.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,43.5,2.5588235294117645,8.993333333333334
ventas,units,679,41.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,3.7097499999999997
ventas,units,680,61.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,16.5,0.9705882352941176,5.958083333333334
ventas,units,724,41.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,3.7097499999999997
ventas,units,730,51.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,6.5,0.38235294117647056,4.833916666666666
ventas,units,732,104.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,59.5,3.5,10.792
ventas,units,774,83.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,38.5,2.264705882352941,8.43125
ventas,units,787,56.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,11.5,0.6764705882352942,5.396
ventas,units,799,295.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,250.5,14.735294117647058,32.26358333333334
ventas,units,800,109.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,64.5,3.7941176470588234,11.354083333333334
ventas,units,803,42.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,3.8221666666666665
ventas,units,814,45.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,0.5,0.029411764705882353,4.159416666666666
ventas,units,817,78.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,33.5,1.9705882352941178,7.869166666666666
ventas,units,820,41.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,3.7097499999999997
ventas,units,822,46.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,1.5,0.08823529411764706,4.271833333333333
ventas,units,826,57.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,12.5,0.7352941176470589,5.508416666666666
ventas,units,859,43.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,3.934583333333333
ventas,units,866,50.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,5.5,0.3235294117647059,4.7215
ventas,units,867,48.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,3.5,0.20588235294117646,4.496666666666667
ventas,units,871,93.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,48.5,2.8529411764705883,9.555416666666666
ventas,units,873,118.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,73.5,4.323529411764706,12.365833333333333
ventas,units,874,71.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,26.5,1.5588235294117647,7.082249999999999
ventas,units,918,133.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,88.5,5.205882352941177,14.052083333333334
ventas,units,940,454.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,409.5,24.08823529411765,50.13783333333333
ventas,units,944,92.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,47.5,2.7941176470588234,9.443
ventas,units,953,65.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,20.5,1.2058823529411764,6.40775
ventas,units,956,86.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,41.5,2.4411764705882355,8.7685
ventas,units,958,61.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,16.5,0.9705882352941176,5.958083333333334
ventas,units,960,41.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,3.7097499999999997
ventas,units,966,52.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,7.5,0.4411764705882353,4.9463333333333335
ventas,units,1009,82.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,37.5,2.2058823529411766,8.318833333333332
ventas,units,1011,124.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,79.5,4.676470588235294,13.040333333333335
ventas,units,1032,46.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,1.5,0.08823529411764706,4.271833333333333
ventas,units,1034,53.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,8.5,0.5,5.05875
ventas,units,1047,119.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,74.5,4.382352941176471,12.478250000000001
ventas,units,1061,130.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,85.5,5.029411764705882,13.714833333333333
ventas,units,1071,401.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,356.5,20.970588235294116,44.179750000000006
ventas,units,1074,106.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,61.5,3.6176470588235294,11.016833333333333
ventas,units,1086,69.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,24.5,1.4411764705882353,6.8574166666666665
ventas,units,1089,65.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,20.5,1.2058823529411764,6.40775
ventas,units,1136,44.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,4.047
ventas,units,1170,105.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,60.5,3.5588235294117645,10.904416666666668
ventas,units,1185,47.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,2.5,0.14705882352941177,4.38425
ventas,units,1190,41.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,3.7097499999999997
ventas,units,1191,50.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,5.5,0.3235294117647059,4.7215
ventas,units,1207,63.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,18.5,1.088235294117647,6.182916666666666
ventas,units,1237,74.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,29.5,1.7352941176470589,7.419499999999999
ventas,units,1239,130.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,85.5,5.029411764705882,13.714833333333333
ventas,units,1240,50.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,5.5,0.3235294117647059,4.7215
ventas,units,1273,46.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,1.5,0.08823529411764706,4.271833333333333
ventas,units,1282,104.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,59.5,3.5,10.792
ventas,units,1302,423.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,378.5,22.264705882352942,46.65291666666667
ventas,units,1306,77.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,32.5,1.911764705882353,7.75675
ventas,units,1315,72.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,27.5,1.6176470588235294,7.1946666666666665
ventas,units,1317,48.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,3.5,0.20588235294117646,4.496666666666667
ventas,units,1319,81.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,36.5,2.1470588235294117,8.206416666666668
ventas,units,1327,53.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,8.5,0.5,5.05875
ventas,units,1357,52.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,7.5,0.4411764705882353,4.9463333333333335
ventas,units,1364,56.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,11.5,0.6764705882352942,5.396
ventas,units,1365,40.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,3.5973333333333333
ventas,units,1371,72.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,27.5,1.6176470588235294,7.1946666666666665
ventas,units,1374,157.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,112.5,6.617647058823529,16.750083333333333
ventas,units,1406,52.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,7.5,0.4411764705882353,4.9463333333333335
ventas,units,1416,117.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,72.5,4.264705882352941,12.253416666666666
ventas,units,1438,40.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,3.5973333333333333
ventas,units,1440,420.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,375.5,22.08823529411765,46.315666666666665
ventas,units,1444,44.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,4.047
ventas,units,1454,74.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,29.5,1.7352941176470589,7.419499999999999
ventas,units,1458,63.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,18.5,1.088235294117647,6.182916666666666
ventas,units,1469,45.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,0.5,0.029411764705882353,4.159416666666666
ventas,units,1485,70.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,25.5,1.5,6.969833333333334
ventas,units,1502,42.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,3.8221666666666665
ventas,units,1508,48.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,3.5,0.20588235294117646,4.496666666666667
ventas,units,1514,79.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,34.5,2.0294117647058822,7.981583333333333
ventas,units,1516,64.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,19.5,1.1470588235294117,6.295333333333333
ventas,units,1517,113.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,68.5,4.029411764705882,11.80375
