flag,flagged_rows,flagged_fraction
units__outlier,519,0.0938177874186551
amount__outlier,398,0.07194504699927694
amount__negative,6,0.0010845986984815619
quality_repeated_business_key,0,0.0
units__negative,0,0.0
period__invalid,0,0.0
