column,dtype,missing_count,missing_fraction,unique_non_null
source_file,string,0,0.0,1
article_code,Int64,0,0.0,405
article_name,string,0,0.0,399
quality_repeated_business_key,bool,0,0.0,1
article_code__conflict,bool,0,0.0,1
