target,feature,n_pairs,pearson,spearman,abs_spearman,possible_target_leakage
facturacion,facturacion_tickets,242,1.0,1.0,1.0,True
facturacion,comensales_completed,242,0.9275647166440405,0.9233680668171989,0.9233680668171989,False
facturacion,comensales_reservados_total,242,0.914471089974924,0.9217332384534096,0.9217332384534096,False
facturacion,reservas_total,242,0.8791534044886615,0.8554985187772437,0.8554985187772437,False
facturacion,reservas_completed,242,0.8699212710523971,0.8404844769144281,0.8404844769144281,False
facturacion,num_tickets,242,0.8175006266177246,0.7880740507507868,0.7880740507507868,False
facturacion,num_tickets_unicos,242,0.8175006266177246,0.7880740507507868,0.7880740507507868,False
facturacion,num_comprobantes,242,0.7952423861252672,0.7616867652134507,0.7616867652134507,False
facturacion,reservas_turno_comida,242,0.6418572781115309,0.6708059883532698,0.6708059883532698,False
facturacion,reservas_turno_cena,242,0.7204495447211944,0.6485518381028859,0.6485518381028859,False
facturacion,ticket_maximo,242,0.4375288219420104,0.6335488507594592,0.6335488507594592,False
facturacion,reservas_cancelled,242,0.6016601552076849,0.5761208472170185,0.5761208472170185,False
facturacion,ticket_medio,242,0.4536837146365079,0.5655892509909862,0.5655892509909862,False
facturacion,comensales_cancelled,242,0.522166569844434,0.5233709272706668,0.5233709272706668,False
facturacion,day_of_week_num,242,0.46771416174615005,0.5041347678543066,0.5041347678543066,False
facturacion,ticket_mediano,242,0.3619819801757135,0.4805602861608879,0.4805602861608879,False
facturacion,reservas_grupo_grande,242,0.44439033285082186,0.44246913934114646,0.44246913934114646,False
facturacion,tamano_grupo_maximo,240,0.26923887851257144,0.41822489877240215,0.41822489877240215,False
facturacion,lead_time_horas_mediano,240,0.04576944753344846,0.3675210994537139,0.3675210994537139,False
facturacion,tamano_grupo_medio,240,0.22434107283270663,0.30841570372364413,0.30841570372364413,False
facturacion,reservas_walk_in,242,0.32855242742347623,0.29394029828529067,0.29394029828529067,False
facturacion,base_facturas_pdf,69,0.23554563023887334,0.2556448666423091,0.2556448666423091,False
facturacion,facturacion_facturas_pdf,69,0.23554384179509752,0.2556448666423091,0.2556448666423091,False
facturacion,iva_facturas_pdf,69,0.23552593490449547,0.25561066506971564,0.25561066506971564,False
facturacion,lead_time_horas_medio,240,0.09423458103824825,0.23937741974687057,0.23937741974687057,False
