status_grouped,count,fraction
completed,17100,0.8012745419614826
cancelled,2893,0.1355606578885713
liberada,663,0.031066960311138186
no_show,493,0.023101073051871982
pending,162,0.007591021976477204
llegada,14,0.000656014244880746
cuenta_solicitada,13,0.0006091560845321212
a_revisar,3,0.00014057448104587414
