fold,model,period_index,n_rows,n_evaluated,prediction_coverage,MAE,RMSE,WAPE,Bias,actual_total,predicted_total,Top_20_overlap_observed_panel
1,Naive lag 1,18,132,132,1.0,7.242424242424242,15.101173945937267,0.3643292682926829,-0.10899390243902439,2624.0,2338.0,0.8
1,Naive lag 1,19,134,134,1.0,7.067164179104478,12.287902071282666,0.3735700197238659,0.08165680473372781,2535.0,2742.0,0.75
1,Naive lag 1,20,131,131,1.0,6.770992366412214,12.032716216298992,0.4201800094741828,0.24490762671719565,2111.0,2628.0,0.75
1,Naive lag 1,21,130,130,1.0,6.492307692307692,10.310562172243195,0.3550694152292806,-0.06478754732856541,2377.0,2223.0,0.8
1,Rolling mean 4,18,132,132,1.0,5.573863636363637,12.762927113389136,0.2803925304878049,-0.11906122967479675,2624.0,2311.5833333333335,0.8
1,Rolling mean 4,19,134,134,1.0,5.0914179104477615,9.019082749837953,0.2691321499013807,-0.07011834319526628,2535.0,2357.25,0.85
1,Rolling mean 4,20,131,131,1.0,5.114503816793893,10.03700215272172,0.3173851255329228,0.14613927048792041,2111.0,2419.5,0.85
1,Rolling mean 4,21,130,130,1.0,5.55897435897436,10.898252231867351,0.3040246809704109,0.007572570466975173,2377.0,2395.0,0.8
1,Historical expanding mean,18,132,132,1.0,5.083538887583005,12.067060281996506,0.2557268037960963,-0.09709722068940146,2624.0,2369.2168929110107,0.75
1,Historical expanding mean,19,134,134,1.0,4.457016755924789,8.059747153557234,0.23559772989898292,-0.0560342099110945,2535.0,2392.9532778753755,0.9
1,Historical expanding mean,20,131,131,1.0,4.710715538180797,8.644561225770726,0.29232768143139953,0.13377137377033615,2111.0,2393.3913700291796,0.75
1,Historical expanding mean,21,130,130,1.0,4.929910139310294,9.16200060045871,0.26962066390843004,-0.005777558027496486,2377.0,2363.266744568641,0.8
2,Naive lag 1,22,137,137,1.0,5.656934306569343,9.27951987179805,0.3329037800687285,0.08032646048109966,2328.0,2515.0,0.85
2,Naive lag 1,23,141,141,1.0,5.546099290780142,8.368295453336136,0.3231404958677686,0.013223140495867768,2420.0,2452.0,0.9
2,Naive lag 1,24,145,145,1.0,6.7379310344827585,13.073004561915447,0.331523583305056,-0.14082117407533085,2947.0,2532.0,0.8
2,Naive lag 1,25,126,126,1.0,9.777777777777779,20.297392122736532,0.6380113930605904,0.5323666494044537,1931.0,2959.0,0.8
2,Rolling mean 4,22,137,137,1.0,5.010948905109489,9.417783561005555,0.29488831615120276,0.062285223367697595,2328.0,2473.0,0.8
2,Rolling mean 4,23,141,141,1.0,4.754728132387706,8.28745943251294,0.2770316804407713,-0.007196969696969693,2420.0,2402.5833333333335,0.9
2,Rolling mean 4,24,145,145,1.0,6.30919540229885,12.62186951439105,0.3104286845379482,-0.19980771405949554,2947.0,2358.1666666666665,0.85
2,Rolling mean 4,25,126,126,1.0,5.610449735449736,11.951126314871061,0.36608838253064047,0.3002330398757121,1931.0,2510.75,0.9
2,Historical expanding mean,22,137,137,1.0,4.46536942749486,7.903588310661357,0.2627816200888298,0.028966149346473544,2328.0,2395.4331956785904,0.85
2,Historical expanding mean,23,141,141,1.0,4.51676490018969,9.395984563285452,0.2631668805482423,-0.01017765617242177,2420.0,2395.3700720627394,0.8
2,Historical expanding mean,24,145,145,1.0,6.472340726164024,12.542688739823358,0.3184558552065773,-0.18164923953800766,2947.0,2411.6796910814915,0.75
2,Historical expanding mean,25,126,126,1.0,5.11821041864549,10.700738856454194,0.3339691935522174,0.23360273495050995,1931.0,2382.0868811894343,0.8
3,Naive lag 1,26,138,138,1.0,6.282608695652174,10.424678078649636,0.4418960244648318,0.06269113149847094,1962.0,2085.0,0.65
3,Naive lag 1,27,136,136,1.0,7.8088235294117645,13.822402957858369,0.4113090627420604,-0.19984508133230056,2582.0,2066.0,0.75
3,Naive lag 1,28,140,140,1.0,6.757142857142857,10.572200743999735,0.3610687022900763,0.03816793893129771,2620.0,2720.0,0.8
3,Naive lag 1,29,138,138,1.0,7.355072463768116,13.05978449341691,0.357646229739253,-0.03770260747004933,2838.0,2731.0,0.8
3,Rolling mean 4,26,138,138,1.0,6.943840579710145,12.446950635104223,0.48840468909276247,0.2567533129459735,1962.0,2465.75,0.7
3,Rolling mean 4,27,136,136,1.0,4.678308823529412,8.21929632680579,0.24641750580945004,-0.08930415698424994,2582.0,2351.416666666667,0.85
3,Rolling mean 4,28,140,140,1.0,5.7315476190476184,10.429404117114997,0.306265903307888,-0.08241094147582698,2620.0,2404.0833333333335,0.85
3,Rolling mean 4,29,138,138,1.0,6.695048309178744,13.199153113539285,0.32555203194738075,-0.18102536997885835,2838.0,2324.25,0.8
3,Historical expanding mean,26,138,138,1.0,6.241567684184661,10.500993936075952,0.4390093478172697,0.23671458686839564,1962.0,2426.4340194357924,0.65
3,Historical expanding mean,27,136,136,1.0,4.168756361938527,7.411270480615384,0.21957818172875282,-0.08188633454513726,2582.0,2370.569484204456,0.85
3,Historical expanding mean,28,140,140,1.0,5.4193423830900125,10.131824835400241,0.2895831807758022,-0.09215735996385022,2620.0,2378.5477168947127,0.8
3,Historical expanding mean,29,138,138,1.0,6.182572605638692,11.663361549517699,0.3006324945659406,-0.1555565895083596,2838.0,2396.5303989752756,0.8
4,Naive lag 1,30,136,136,1.0,5.9411764705882355,8.000919064854546,0.29075206908960055,0.039582583663188196,2779.0,2889.0,0.9
4,Naive lag 1,31,140,140,1.0,5.85,8.0458507496544,0.29630969609261937,0.05463096960926194,2764.0,2915.0,0.85
