fold,model,model_family,period_index,n_rows,n_evaluated,prediction_coverage,MAE,RMSE,WAPE,Bias,actual_total,predicted_total,Top_20_overlap_observed_panel
1,HistGradientBoosting Poisson,hist_gradient_boosting,18,132,132,1.0,5.932020885513153,14.993816975230597,0.298409587228558,-0.1697408109667946,2624.0,2178.600112023131,0.8
1,HistGradientBoosting Poisson,hist_gradient_boosting,19,134,134,1.0,6.229430940686187,14.74696558366361,0.32928747378775114,-0.14030939678887824,2535.0,2179.315679140194,0.75
1,HistGradientBoosting Poisson,hist_gradient_boosting,20,131,131,1.0,4.441097574488816,7.752280717649218,0.27559629666415675,-0.026848986979334768,2111.0,2054.3217884866244,0.8
1,HistGradientBoosting Poisson,hist_gradient_boosting,21,130,130,1.0,5.304620621511271,9.105001337463703,0.29011387496696056,-0.03227374353607159,2377.0,2300.285311614758,0.75
1,Random Forest,random_forest,18,132,132,1.0,5.37886152449272,13.19934379323422,0.2705829730308838,-0.11906539776444178,2624.0,2311.572396266105,0.8
1,Random Forest,random_forest,19,134,134,1.0,4.556202164310548,8.675505235176516,0.24084066667361478,-0.03506434580987278,2535.0,2446.1118833719725,0.85
1,Random Forest,random_forest,20,131,131,1.0,4.7846266707245295,8.864015862206035,0.2969143031098595,0.10301053024890848,2111.0,2328.4552293554457,0.8
1,Random Forest,random_forest,21,130,130,1.0,5.353027279842565,10.17293072051191,0.2927612731929043,-0.05275946783936277,2377.0,2251.5907449458346,0.8
2,HistGradientBoosting Poisson,hist_gradient_boosting,22,137,137,1.0,4.2274349940115075,7.177798160463766,0.24877946485377,-0.033521691124785674,2328.0,2249.9615030614987,0.8
2,HistGradientBoosting Poisson,hist_gradient_boosting,23,141,141,1.0,4.043415974057655,7.075572938228647,0.23558745964550803,-0.0011361300661325924,2420.0,2417.2505652399595,0.85
2,HistGradientBoosting Poisson,hist_gradient_boosting,24,145,145,1.0,6.4791352772921735,13.586826777887444,0.318790164644508,-0.1770815365236188,2947.0,2425.1407118648954,0.8
2,HistGradientBoosting Poisson,hist_gradient_boosting,25,126,126,1.0,4.849390526998976,9.729618499528451,0.31642838239351156,0.2111953310246141,1931.0,2338.8181842085305,0.8
2,Random Forest,random_forest,22,137,137,1.0,4.551633810676462,8.085224017137003,0.26785817528465433,0.03143468464804686,2328.0,2401.179945860653,0.8
2,Random Forest,random_forest,23,141,141,1.0,4.6883761864411095,9.084261307233941,0.2731657199538002,-0.011180393966556096,2420.0,2392.9434466009343,0.85
2,Random Forest,random_forest,24,145,145,1.0,6.499717823717883,13.077243856755024,0.31980287900885407,-0.18180919238379636,2947.0,2411.208310044952,0.8
2,Random Forest,random_forest,25,126,126,1.0,5.1999720636542195,9.508660444788463,0.3393042361576549,0.2682732807117443,1931.0,2449.0357050543785,0.85
3,HistGradientBoosting Poisson,hist_gradient_boosting,26,138,138,1.0,6.216497084852303,11.121902923085836,0.4372459723290611,0.16776928260994206,1962.0,2291.1633324807062,0.7
3,HistGradientBoosting Poisson,hist_gradient_boosting,27,136,136,1.0,4.58628355321603,9.604167789551079,0.24157031883709534,-0.12413756450421497,2582.0,2261.476808450117,0.8
3,HistGradientBoosting Poisson,hist_gradient_boosting,28,140,140,1.0,6.4501442012688,14.42945269776463,0.34466419396092823,-0.19509322124069822,2620.0,2108.855760349371,0.75
3,HistGradientBoosting Poisson,hist_gradient_boosting,29,138,138,1.0,6.6032601656411165,13.167995222945486,0.32108876069713677,-0.1670934270102869,2838.0,2363.7888541448056,0.8
3,Random Forest,random_forest,26,138,138,1.0,6.386235720303842,10.69031598347853,0.44918477543421514,0.2566670149382523,1962.0,2465.580683308851,0.7
3,Random Forest,random_forest,27,136,136,1.0,4.2548220723537495,7.709742911319465,0.2241114646940782,-0.07349625277165608,2582.0,2392.232675343584,0.85
3,Random Forest,random_forest,28,140,140,1.0,5.544316205069153,10.807467099308361,0.2962611712632372,-0.09163271909846213,2620.0,2379.9222759620293,0.85
3,Random Forest,random_forest,29,138,138,1.0,6.015492746060059,11.783693030875806,0.2925081039310388,-0.11651118405768593,2838.0,2507.341259644287,0.8
4,HistGradientBoosting Poisson,hist_gradient_boosting,30,136,136,1.0,4.830702729664779,8.464305381037686,0.23640718648233536,-0.1215672296927098,2779.0,2441.1646686839595,0.9
4,HistGradientBoosting Poisson,hist_gradient_boosting,31,140,140,1.0,4.638900619993062,8.51650926494125,0.23496602272034323,-0.11847065985402411,2764.0,2436.5470961634774,0.9
4,HistGradientBoosting Poisson,hist_gradient_boosting,32,142,142,1.0,4.830907553828795,8.40360952058825,0.2417155999449221,-0.13568288032186807,2838.0,2452.931985646538,0.8
4,HistGradientBoosting Poisson,hist_gradient_boosting,33,129,129,1.0,6.412854576277298,12.387130653129065,0.32164006234050213,-0.0632763945936972,2572.0,2409.253113105011,0.85
4,Random Forest,random_forest,30,136,136,1.0,4.907661492381582,8.715918701110352,0.24017343035764488,-0.07326728566139426,2779.0,2575.3902131469854,0.9
4,Random Forest,random_forest,31,140,140,1.0,4.415600279533412,8.743484714658388,0.22365558579402228,-0.016872494233228962,2764.0,2717.364425939356,0.9
4,Random Forest,random_forest,32,142,142,1.0,4.693316946407491,9.019826720325403,0.2348312214199661,-0.05332158651561215,2838.0,2686.673337468693,0.85
4,Random Forest,random_forest,33,129,129,1.0,6.111658276180654,10.779720754800364,0.3065334049872878,0.024656405855087042,2572.0,2635.416275859284,0.85
