fold,model,source_column,train_periods,validation_periods,fallback_value,fallback_fraction,n_rows,n_evaluated,prediction_coverage,MAE,RMSE,WAPE,Bias,actual_total,predicted_total,Top_20_overlap_observed_panel
1,Naive lag 1,units__lag_1,17,4,7.0,0.17267552182163187,527,527,1.0,6.895635673624288,12.558931292837633,0.37669741888670055,0.02943920389758474,9647.0,9931.0,0.7749999999999999
1,Rolling mean 4,units__rolling_mean_4,17,4,7.0,0.04364326375711575,527,527,1.0,5.333333333333333,10.762163440630031,0.291351370028679,-0.016965550602950834,9647.0,9483.333333333332,0.825
1,Historical expanding mean,units__expanding_mean_prior,17,4,7.0,0.003795066413662239,527,527,1.0,4.79366116141727,9.605850472535945,0.2618699525310357,-0.013286173381962633,9647.0,9518.828285384207,0.8
2,Naive lag 1,units__lag_1,21,4,7.0,0.1493624772313297,549,549,1.0,6.859744990892532,13.385281316425676,0.39123207978391855,0.08643257843340951,9626.0,10458.0,0.8374999999999999
2,Rolling mean 4,units__rolling_mean_4,21,4,7.0,0.04371584699453552,549,549,1.0,5.42562234365513,10.706552297200709,0.30943971189140523,0.012310409308123823,9626.0,9744.5,0.8625
2,Historical expanding mean,units__expanding_mean_prior,21,4,7.0,0.0018214936247723133,549,549,1.0,5.158476102981161,10.300145047866357,0.29420355085566774,-0.0043039850392420625,9626.0,9584.569840012256,0.8
3,Naive lag 1,units__lag_1,25,4,7.0,0.17391304347826086,552,552,1.0,7.047101449275362,12.051068868343805,0.3889222155568886,-0.03999200159968006,10002.0,9602.0,0.75
3,Rolling mean 4,units__rolling_mean_4,25,4,7.0,0.06702898550724638,552,552,1.0,6.016002415458938,11.248009306785777,0.3320169299473439,-0.04564087182563488,10002.0,9545.5,0.8
3,Historical expanding mean,units__expanding_mean_prior,25,4,7.0,0.018115942028985508,552,552,1.0,5.507590867485261,10.057054436540051,0.30395822424033836,-0.04298324140069629,10002.0,9572.081619510236,0.7749999999999999
4,Naive lag 1,units__lag_1,29,4,8.0,0.1316270566727605,547,547,1.0,6.29981718464351,9.333355097040874,0.3146169999087008,0.056970692960832646,10953.0,11577.0,0.8875
4,Rolling mean 4,units__rolling_mean_4,29,4,8.0,0.043875685557586835,547,547,1.0,5.296008531383302,8.710890222614726,0.26448613774004076,-0.009700538665205885,10953.0,10846.75,0.875
4,Historical expanding mean,units__expanding_mean_prior,29,4,8.0,0.005484460694698354,547,547,1.0,5.258173982434454,10.039730950628778,0.26259665556392275,-0.11766553393605364,10953.0,9664.209406798405,0.8375000000000001
