fold,model,regime,n_rows,n_evaluated,prediction_coverage,MAE,RMSE,WAPE,Bias,actual_total,predicted_total,Top_20_overlap_observed_panel
1,Naive lag 1,cold_start,21,21,1.0,5.619047619047619,5.871642911161277,2.95,2.65,40.0,146.0,1.0
1,Naive lag 1,frequent,401,401,1.0,7.586034912718205,13.835333709487019,0.3336623889437315,-0.019962707030821543,9117.0,8935.0,0.8
1,Naive lag 1,intermittent,56,56,1.0,4.428571428571429,7.919235172305828,1.417142857142857,1.3828571428571428,175.0,417.0,1.0
1,Naive lag 1,regular,41,41,1.0,4.609756097560975,6.7984933768535765,0.8042553191489362,0.4127659574468085,235.0,332.0,1.0
1,Naive lag 1,sparse,8,8,1.0,4.625,5.3967582862307255,0.4625,0.2625,80.0,101.0,1.0
1,Rolling mean 4,cold_start,21,21,1.0,4.642857142857143,5.256515231686519,2.4375,2.1375,40.0,125.5,1.0
1,Rolling mean 4,frequent,401,401,1.0,5.942019950124688,11.48776183901048,0.2613524185587364,-0.04733830572922378,9117.0,8685.416666666668,0.8375
1,Rolling mean 4,intermittent,56,56,1.0,2.3214285714285716,6.675644995886997,0.7428571428571429,0.5438095238095237,175.0,270.16666666666663,1.0
1,Rolling mean 4,regular,41,41,1.0,2.806910569105691,6.667974973251057,0.48971631205673755,0.16418439716312055,235.0,273.58333333333337,1.0
1,Rolling mean 4,sparse,8,8,1.0,10.666666666666668,20.065863771312934,1.0666666666666669,0.6083333333333333,80.0,128.66666666666666,1.0
1,Historical expanding mean,cold_start,21,21,1.0,2.0873015873015874,3.468871399038711,1.0958333333333334,0.27083333333333337,40.0,50.83333333333333,1.0
1,Historical expanding mean,frequent,401,401,1.0,5.559489083510204,10.530090940273784,0.24452727020813775,-0.02080113105879026,9117.0,8927.356088137007,0.825
1,Historical expanding mean,intermittent,56,56,1.0,1.8253188775510203,5.759655392063682,0.5841020408163266,0.27045124716553287,175.0,222.32896825396827,1.0
1,Historical expanding mean,regular,41,41,1.0,2.3025151000760755,4.312436135889833,0.40171540043880466,0.018552747488917738,235.0,239.35989565989564,1.0
1,Historical expanding mean,sparse,8,8,1.0,7.05625,12.70151319725331,0.7056250000000001,-0.013125000000000008,80.0,78.95,1.0
2,Naive lag 1,cold_start,16,16,1.0,5.125,5.431390245600108,3.1538461538461537,2.6153846153846154,26.0,94.0,1.0
2,Naive lag 1,frequent,412,412,1.0,7.951456310679611,15.246358788598661,0.35097493036211697,0.05013927576601671,9334.0,9802.0,0.8374999999999999
2,Naive lag 1,intermittent,62,62,1.0,3.564516129032258,4.274832575480248,1.5241379310344827,1.0827586206896551,145.0,302.0,1.0
2,Naive lag 1,regular,47,47,1.0,2.7872340425531914,3.7784382679462754,1.2596153846153846,0.7980769230769231,104.0,187.0,1.0
2,Naive lag 1,sparse,12,12,1.0,4.666666666666667,5.131601439446884,3.2941176470588234,3.2941176470588234,17.0,73.0,1.0
2,Rolling mean 4,cold_start,16,16,1.0,4.4375,5.0682837331783235,2.730769230769231,2.1923076923076925,26.0,83.0,1.0
2,Rolling mean 4,frequent,412,412,1.0,6.426173139158576,12.052877727565392,0.2836493821869866,-0.006829869295050356,9334.0,9270.25,0.875
2,Rolling mean 4,intermittent,62,62,1.0,2.6586021505376345,6.11929640812291,1.1367816091954024,0.5965517241379311,145.0,231.5,1.0
2,Rolling mean 4,regular,47,47,1.0,1.2393617021276595,1.776729337710138,0.5600961538461537,0.03605769230769229,104.0,107.75,1.0
