fold,model,model_family,train_periods,validation_periods,fallback_value,fallback_fraction,unseen_category_fraction,encoded_feature_count,fit_seconds,predict_seconds,n_rows,n_evaluated,prediction_coverage,MAE,RMSE,WAPE,Bias,actual_total,predicted_total,Top_20_overlap_observed_panel
1,HistGradientBoosting Poisson,hist_gradient_boosting,17,4,,0.0,0.0056925996204933585,294,4.331024200000684,0.018464699998730794,527,527,1.0,5.482267487655,12.124187959590206,0.2994874018859941,-0.09686712021719636,9647.0,8712.522891264707,0.775
1,Random Forest,random_forest,17,4,,0.0,0.0056925996204933585,294,0.47971619999589166,0.08291479999752482,527,527,1.0,5.015598579687095,10.384368366229708,0.27399403456982474,-0.03205864476631515,9647.0,9337.730253939357,0.8125
2,HistGradientBoosting Poisson,hist_gradient_boosting,21,4,,0.0,0.0036429872495446266,297,4.486967800003185,0.01674009999987902,549,549,1.0,4.9176285394006225,9.80803488123006,0.28046728320495967,-0.02023987488314115,9626.0,9431.170964374884,0.8125
2,Random Forest,random_forest,21,4,,0.0,0.0036429872495446266,297,0.45428030000039143,0.07816870000533527,549,549,1.0,5.25007365903533,10.169866865513153,0.2994276375244542,0.0029469569458672046,9626.0,9654.367407560918,0.8250000000000001
3,HistGradientBoosting Poisson,hist_gradient_boosting,25,4,,0.0,0.041666666666666664,299,4.5686273999963305,0.018653599996468984,552,552,1.0,5.970799369534609,12.239512633410689,0.32952222075415954,-0.0976519940586883,10002.0,9025.284755425,0.7625
3,Random Forest,random_forest,25,4,,0.0,0.041666666666666664,299,0.49615040000207955,0.07861289999709697,552,552,1.0,5.554888766137699,10.37076515991409,0.30656854618156465,-0.02568717313949694,10002.0,9745.076894258751,0.8
4,HistGradientBoosting Poisson,hist_gradient_boosting,29,4,,0.0,0.007312614259597806,309,4.711956999999529,0.019463800002995413,547,547,1.0,5.1547875155702,9.533928636605253,0.2574334676359809,-0.11075533063096996,10953.0,9739.896863598986,0.8625
4,Random Forest,random_forest,29,4,,0.0,0.007312614259597806,309,0.5163585000045714,0.07837950000248384,547,547,1.0,5.010019974617442,9.326220418541515,0.2502036817415996,-0.03087334498180252,10953.0,10614.844252414317,0.875
