cv_rank,model,model_family,folds,MAE_mean,MAE_std,RMSE_mean,RMSE_std,WAPE_mean,WAPE_std,Bias_mean,Bias_std,prediction_coverage_mean,fallback_fraction_mean,TopK_mean,TopK_std
1,Adaptive regime selector,adaptive_selector,4,5.154940678034139,0.2672400744439389,9.979453685011732,0.2852734179623582,0.279320610087733,0.020315536182170423,-0.04844839660084319,0.05277741817672007,1.0,0.0009487666034155598,0.80625,0.021650635094611063
2,Historical expanding mean,baseline,4,5.179475528579537,0.29616820898978713,10.000695226892782,0.28883254869899716,0.2806570957977411,0.0216455175105446,-0.04455973343948866,0.051463593058030124,1.0,0.007304240690529604,0.8031250000000001,0.025769410160110483
3,Random Forest,random_forest,4,5.207645244869392,0.257109511324939,10.062805202549617,0.5007532816616231,0.2825484750043608,0.025698469792943254,-0.021418051485436854,0.016477295854459555,1.0,0.0,0.828125,0.03287444549595724
4,HistGradientBoosting Poisson,hist_gradient_boosting,4,5.381370728040108,0.4560712843449518,10.926416027709053,1.454725383006497,0.29172759337027354,0.03050426271952811,-0.08137857994749895,0.041253903347382936,1.0,0.0,0.803125,0.04492470552676634
5,Rolling mean 4,baseline,4,5.517741655957676,0.336611427883104,10.356903816807812,1.1239690341343784,0.29932353740186723,0.028568016908536973,-0.014999137946416944,0.023921184192060355,1.0,0.04956594545412112,0.840625,0.03442231592053813
6,Naive lag 1,baseline,4,6.775574824608923,0.3273994829189102,11.832159143661997,1.7542642685104874,0.36786717853405215,0.03606839735265205,0.03321261842303671,0.054067751630401596,1.0,0.15689452480099575,0.8125,0.062081935107297224
