cv_rank,model,folds,MAE_mean,MAE_std,RMSE_mean,RMSE_std,WAPE_mean,WAPE_std,Bias_mean,Bias_std,prediction_coverage_mean,fallback_fraction_mean,TopK_mean,TopK_std
1,Historical expanding mean,4,5.179475528579537,0.29616820898978713,10.000695226892782,0.28883254869899716,0.2806570957977411,0.0216455175105446,-0.04455973343948866,0.051463593058030124,1.0,0.007304240690529604,0.8031250000000001,0.025769410160110483
2,Rolling mean 4,4,5.517741655957676,0.336611427883104,10.356903816807812,1.1239690341343784,0.29932353740186723,0.028568016908536973,-0.014999137946416944,0.023921184192060355,1.0,0.04956594545412112,0.840625,0.03442231592053813
3,Naive lag 1,4,6.775574824608923,0.3273994829189102,11.832159143661997,1.7542642685104874,0.36786717853405215,0.03606839735265205,0.03321261842303671,0.054067751630401596,1.0,0.15689452480099575,0.8125,0.062081935107297224
